id,firstName,lastName,username,email,income
0,Joe,Joe,joe,joe@joe.joe,200.02
1,Bob,Bob,1,bob@bob.bob,5000.33
2,Bob,Bob,2,bob@bob.bob,5000.33
3,Bob,Bob,3,bob@bob.bob,5000.33
4,Bob,Bob,4,bob@bob.bob,5000.33
5,Bob,Bob,5,bob@bob.bob,5000.33
6,Bob,Bob,6,bob@bob.bob,5000.33
7,Bob,Bob,7,bob@bob.bob,5000.33
8,Bob,Bob,8,bob@bob.bob,5000.33
9,Bob,Bob,9,bob@bob.bob,5000.33
10,Bob,Bob,10,bob@bob.bob,5000.33
11,Bob,Bob,11,bob@bob.bob,5000.33
12,Bob,Bob,12,bob@bob.bob,5000.33
13,Bob,Bob,13,bob@bob.bob,5000.33
14,Bob,Bob,14,bob@bob.bob,5000.33
15,Bob,Bob,15,bob@bob.bob,5000.33
16,Bob,Bob,16,bob@bob.bob,5000.33
17,Bob,Bob,17,bob@bob.bob,5000.33
18,Bob,Bob,18,bob@bob.bob,5000.33
19,Bob,Bob,19,bob@bob.bob,5000.33
20,Bob,Bob,20,bob@bob.bob,5000.33
21,Bob,Bob,21,bob@bob.bob,5000.33
22,Bob,Bob,22,bob@bob.bob,5000.33
23,Bob,Bob,23,bob@bob.bob,5000.33
24,Bob,Bob,24,bob@bob.bob,5000.33
25,Bob,Bob,25,bob@bob.bob,5000.33
26,Bob,Bob,26,bob@bob.bob,5000.33
27,Bob,Bob,27,bob@bob.bob,5000.33
28,Bob,Bob,28,bob@bob.bob,5000.33
29,Bob,Bob,29,bob@bob.bob,5000.33
30,Bob,Bob,30,bob@bob.bob,5000.33
31,Bob,Bob,31,bob@bob.bob,5000.33
32,Bob,Bob,32,bob@bob.bob,5000.33
33,Bob,Bob,33,bob@bob.bob,5000.33
34,Bob,Bob,34,bob@bob.bob,5000.33
35,Bob,Bob,35,bob@bob.bob,5000.33
36,Bob,Bob,36,bob@bob.bob,5000.33
37,Bob,Bob,37,bob@bob.bob,5000.33
38,Bob,Bob,38,bob@bob.bob,5000.33
39,Bob,Bob,39,bob@bob.bob,5000.33
40,Bob,Bob,40,bob@bob.bob,5000.33
41,Bob,Bob,41,bob@bob.bob,5000.33
42,Bob,Bob,42,bob@bob.bob,5000.33
43,Bob,Bob,43,bob@bob.bob,5000.33
44,Bob,Bob,44,bob@bob.bob,5000.33
45,Bob,Bob,45,bob@bob.bob,5000.33
46,Bob,Bob,46,bob@bob.bob,5000.33
47,Bob,Bob,47,bob@bob.bob,5000.33
48,Bob,Bob,48,bob@bob.bob,5000.33
49,Bob,Bob,49,bob@bob.bob,5000.33
50,Bob,Bob,50,bob@bob.bob,5000.33
51,Bob,Bob,51,bob@bob.bob,5000.33
52,Bob,Bob,52,bob@bob.bob,5000.33
53,Bob,Bob,53,bob@bob.bob,5000.33
54,Bob,Bob,54,bob@bob.bob,5000.33
55,Bob,Bob,55,bob@bob.bob,5000.33
56,Bob,Bob,56,bob@bob.bob,5000.33
57,Bob,Bob,57,bob@bob.bob,5000.33
58,Bob,Bob,58,bob@bob.bob,5000.33
59,Bob,Bob,59,bob@bob.bob,5000.33
60,Bob,Bob,60,bob@bob.bob,5000.33
61,Bob,Bob,61,bob@bob.bob,5000.33
62,Bob,Bob,62,bob@bob.bob,5000.33
63,Bob,Bob,63,bob@bob.bob,5000.33
64,Bob,Bob,64,bob@bob.bob,5000.33
65,Bob,Bob,65,bob@bob.bob,5000.33
66,Bob,Bob,66,bob@bob.bob,5000.33
67,Bob,Bob,67,bob@bob.bob,5000.33
68,Bob,Bob,68,bob@bob.bob,5000.33
69,Bob,Bob,69,bob@bob.bob,5000.33
70,Bob,Bob,70,bob@bob.bob,5000.33
71,Bob,Bob,71,bob@bob.bob,5000.33
72,Bob,Bob,72,bob@bob.bob,5000.33
73,Bob,Bob,73,bob@bob.bob,5000.33
74,Bob,Bob,74,bob@bob.bob,5000.33
75,Bob,Bob,75,bob@bob.bob,5000.33
76,Bob,Bob,76,bob@bob.bob,5000.33
77,Bob,Bob,77,bob@bob.bob,5000.33
78,Bob,Bob,78,bob@bob.bob,5000.33
79,Bob,Bob,79,bob@bob.bob,5000.33
80,Bob,Bob,80,bob@bob.bob,5000.33
81,Bob,Bob,81,bob@bob.bob,5000.33
82,Bob,Bob,82,bob@bob.bob,5000.33
83,Bob,Bob,83,bob@bob.bob,5000.33
84,Bob,Bob,84,bob@bob.bob,5000.33
85,Bob,Bob,85,bob@bob.bob,5000.33
86,Bob,Bob,86,bob@bob.bob,5000.33
87,Bob,Bob,87,bob@bob.bob,5000.33
88,Bob,Bob,88,bob@bob.bob,5000.33
89,Bob,Bob,89,bob@bob.bob,5000.33
90,Bob,Bob,90,bob@bob.bob,5000.33
91,Bob,Bob,91,bob@bob.bob,5000.33
92,Bob,Bob,92,bob@bob.bob,5000.33
93,Bob,Bob,93,bob@bob.bob,5000.33
94,Bob,Bob,94,bob@bob.bob,5000.33
95,Bob,Bob,95,bob@bob.bob,5000.33
